#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
2016_LUN3.oracleGeneral.zst,8589934592,0.8875,0.7651,0.8866,0.8816,0.8926,0.8987,0.8877,0.8705,0.892,0.8921,0.9198,0.895,0.882,0.8938,0.8924,0.8729,0.8714,0.8774,0.8761,0.8835,0.8745
2016_LUN6.oracleGeneral.zst,7516192768,0.8888,0.7642,0.8892,0.8906,0.9006,0.9062,0.8926,0.874,0.8957,0.9003,0.9246,0.8896,0.8877,0.9015,0.8996,0.8808,0.8799,0.8846,0.882,0.8847,0.8836
2016_LUN2.oracleGeneral.zst,7516192768,0.8815,0.7728,0.8812,0.8784,0.8862,0.892,0.881,0.8649,0.8843,0.8858,0.9263,0.8891,0.8765,0.8877,0.8863,0.8697,0.8673,0.8728,0.8692,0.8732,0.8714
2016_LUN1.oracleGeneral.zst,6442450944,0.8942,0.7864,0.8934,0.8919,0.9005,0.9066,0.8948,0.8783,0.8969,0.9003,0.93,0.8996,0.8892,0.9021,0.9005,0.8814,0.8796,0.886,0.883,0.8886,0.8833
2016_LUN4.oracleGeneral.zst,7516192768,0.8876,0.768,0.8866,0.8773,0.8961,0.9039,0.8918,0.8711,0.895,0.8957,0.9325,0.8955,0.8738,0.8978,0.8957,0.867,0.8649,0.877,0.8682,0.8743,0.8693
2016_LUN0.oracleGeneral.zst,6442450944,0.8673,0.758,0.867,0.8642,0.8737,0.8813,0.8687,0.8517,0.8791,0.8736,0.9124,0.874,0.8618,0.8751,0.8736,0.8548,0.8542,0.86,0.8577,0.8707,0.857
