#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
202312_kv_traces_all.csv.oracleGeneral.zst,1990104,0.0967,0.0767,0.0965,0.0966,0.0979,0.1185,0.1028,0.0956,0.099,0.1038,0.2104,0.0972,0.0935,0.0993,0.0949,0.0896,0.0892,0.0919,0.0904,0.0959,0.09
202401_kv_traces_all_sort.csv.oracleGeneral.zst,552367,0.1411,0.0985,0.14,0.1432,0.1478,0.1683,0.1508,0.1421,0.1528,0.1507,0.2326,0.1376,0.1395,0.1504,0.1457,0.1349,0.1344,0.1389,0.1367,0.1434,0.135
202210_kv_traces_all_sort.csv.oracleGeneral.zst,479803,0.1142,0.0749,0.1134,0.115,0.1174,0.1376,0.1221,0.1133,0.1458,0.1231,0.2367,0.108,0.1123,0.119,0.114,0.1073,0.107,0.1104,0.108,0.1528,0.1073
202206_kv_traces_all.csv.oracleGeneral.zst,519665,0.1137,0.0921,0.1129,0.1148,0.1162,0.1356,0.1207,0.112,0.1159,0.122,0.2456,0.1073,0.1117,0.1175,0.1129,0.1063,0.1061,0.1094,0.1071,0.1139,0.1063
meta_kvcache_traces_1.oracleGeneral.bin.zst,169821,0.1665,0.1409,0.1653,0.1679,0.172,0.1972,0.178,0.1643,0.1718,0.1772,0.2789,0.1586,0.1644,0.1732,0.1693,0.1564,0.1551,0.162,0.1568,0.1634,0.1559
