 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.867 0.780 0.701 0.729 0.628 0.869 0.808 0.626 0.697
P3 0.909 0.889 0.838 0.852 0.770 0.909 0.868 0.755 0.838
P5 0.933 0.912 0.870 0.874 0.825 0.925 0.906 0.814 0.865
P10 0.947 0.939 0.905 0.900 0.867 0.938 0.941 0.856 0.903
P30 0.978 0.975 0.965 0.960 0.944 0.973 0.984 0.931 0.964
P50 0.989 0.988 0.986 0.981 0.977 0.988 0.999 0.967 0.985
