 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.510 0.439 0.472 0.529 0.140 0.362 0.206 0.164 0.463
P3 0.763 0.596 0.590 0.838 0.266 0.680 0.446 0.310 0.590
P5 0.890 0.764 0.781 0.857 0.386 0.752 0.515 0.390 0.780
P10 0.947 0.923 0.897 0.879 0.639 0.829 0.709 0.670 0.899
P30 0.968 0.982 0.958 0.945 0.864 0.924 0.921 0.886 0.964
P50 0.989 0.994 0.978 0.961 0.930 0.960 0.964 0.954 0.978
