 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.748 0.420 0.107 0.186 0.064 0.815 0.692 0.098 0.107
P3 0.797 0.508 0.372 0.488 0.330 0.891 0.839 0.339 0.372
P5 0.843 0.626 0.453 0.627 0.408 0.939 0.920 0.419 0.453
P10 0.895 0.730 0.689 0.763 0.563 0.959 0.937 0.615 0.689
P30 0.964 0.951 0.953 0.964 0.947 0.984 0.976 0.944 0.955
P50 0.984 0.984 0.990 0.987 0.980 0.996 0.992 0.984 0.988
