 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.843 0.765 0.647 0.779 0.437 0.788 0.653 0.485 0.660
P3 0.928 0.919 0.875 0.879 0.736 0.866 0.745 0.759 0.902
P5 0.956 0.953 0.930 0.921 0.803 0.886 0.789 0.825 0.934
P10 0.976 0.978 0.958 0.946 0.901 0.937 0.858 0.906 0.962
P30 0.995 0.995 0.989 0.982 0.962 0.977 0.925 0.965 0.990
P50 0.998 0.998 0.997 0.992 0.985 0.985 0.957 0.984 0.997
