 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
P1 0.749 0.146 0.164 0.457 0.087 0.765 0.775 0.098 0.162 0.473
P3 0.800 0.527 0.588 0.544 0.458 0.814 0.795 0.431 0.587 0.597
P5 0.840 0.611 0.650 0.658 0.486 0.856 0.861 0.475 0.650 0.629
P10 0.895 0.794 0.737 0.723 0.564 0.906 0.904 0.619 0.741 0.749
P30 0.966 0.936 0.920 0.879 0.848 0.977 0.966 0.873 0.921 0.875
P50 0.981 0.976 0.973 0.959 0.939 0.992 0.991 0.954 0.978 0.928
