 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.803 0.721 0.702 0.672 0.435 0.771 0.000 0.494 0.738
P3 0.876 0.900 0.841 0.851 0.684 0.816 0.487 0.739 0.852
P5 0.915 0.927 0.905 0.896 0.776 0.850 0.572 0.802 0.918
P10 0.961 0.966 0.949 0.920 0.861 0.889 0.669 0.872 0.951
P30 0.984 0.990 0.978 0.971 0.936 0.943 0.847 0.937 0.980
P50 0.995 0.995 0.994 0.989 0.969 0.965 0.903 0.973 0.995
