 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.841 0.818 0.757 0.765 0.447 0.810 0.000 0.616 0.777
P3 0.904 0.909 0.883 0.891 0.733 0.835 0.468 0.765 0.897
P5 0.927 0.936 0.931 0.905 0.812 0.862 0.555 0.841 0.937
P10 0.963 0.969 0.951 0.923 0.873 0.892 0.657 0.878 0.953
P30 0.983 0.990 0.978 0.972 0.938 0.943 0.830 0.938 0.980
P50 0.995 0.995 0.995 0.990 0.971 0.963 0.897 0.974 0.995
