 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.879 0.795 0.711 0.721 0.623 0.893 0.864 0.648 0.730
P3 0.903 0.891 0.861 0.812 0.797 0.912 0.923 0.779 0.847
P5 0.911 0.909 0.885 0.846 0.836 0.922 0.940 0.819 0.874
P10 0.927 0.927 0.910 0.881 0.876 0.937 0.960 0.859 0.896
P30 0.973 0.970 0.963 0.950 0.944 0.975 0.990 0.937 0.961
P50 0.986 0.985 0.983 0.979 0.978 0.988 1.000 0.967 0.982
