 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.868 0.814 0.726 0.753 0.660 0.873 0.826 0.661 0.717
P3 0.911 0.894 0.848 0.858 0.801 0.910 0.880 0.774 0.848
P5 0.935 0.921 0.873 0.880 0.835 0.925 0.918 0.825 0.872
P10 0.949 0.942 0.907 0.902 0.878 0.938 0.952 0.862 0.906
P30 0.979 0.976 0.966 0.960 0.948 0.972 0.988 0.936 0.965
P50 0.989 0.988 0.986 0.981 0.978 0.988 0.999 0.968 0.985
