 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.857 0.852 0.752 0.826 0.735 0.870 0.938 0.737 0.752
P3 0.892 0.893 0.862 0.870 0.866 0.904 0.968 0.824 0.827
P5 0.908 0.907 0.893 0.893 0.898 0.924 0.975 0.849 0.861
P10 0.933 0.930 0.922 0.926 0.925 0.949 0.982 0.887 0.907
P30 0.978 0.975 0.974 0.977 0.974 0.984 0.995 0.958 0.972
P50 0.990 0.990 0.993 0.990 0.993 0.991 1.000 0.985 0.992
