 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.633 0.555 0.560 0.497 0.179 0.458 0.239 0.169 0.549
P3 0.811 0.828 0.775 0.529 0.186 0.570 0.461 0.250 0.788
P5 0.830 0.854 0.812 0.645 0.259 0.600 0.569 0.356 0.819
P10 0.895 0.890 0.879 0.762 0.559 0.734 0.697 0.581 0.901
P30 0.965 0.968 0.958 0.928 0.829 0.895 0.895 0.885 0.963
P50 0.983 0.992 0.984 0.972 0.934 0.954 0.952 0.950 0.988
