 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
P1 0.879 0.738 0.686 0.752 0.650 0.855 0.761 0.640 0.695 0.673
P3 0.914 0.894 0.815 0.860 0.737 0.915 0.828 0.734 0.815 0.802
P5 0.926 0.908 0.857 0.866 0.780 0.930 0.864 0.778 0.841 0.839
P10 0.934 0.920 0.889 0.884 0.837 0.940 0.909 0.829 0.869 0.874
P30 0.973 0.972 0.959 0.960 0.927 0.978 0.956 0.910 0.960 0.919
P50 0.982 0.984 0.987 0.985 0.968 0.987 0.989 0.954 0.986 0.954
