 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.882 0.828 0.747 0.734 0.680 0.897 0.887 0.700 0.759
P3 0.904 0.898 0.867 0.819 0.814 0.914 0.931 0.790 0.854
P5 0.913 0.911 0.887 0.850 0.843 0.923 0.948 0.827 0.875
P10 0.928 0.927 0.913 0.879 0.880 0.937 0.966 0.860 0.897
P30 0.973 0.971 0.963 0.949 0.945 0.974 0.992 0.937 0.961
P50 0.986 0.985 0.983 0.978 0.977 0.987 1.000 0.965 0.981
