 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
P1 0.877 0.754 0.689 0.716 0.465 0.841 0.746 0.569 0.693 0.601
P3 0.918 0.900 0.866 0.809 0.700 0.906 0.815 0.737 0.868 0.768
P5 0.937 0.928 0.908 0.874 0.796 0.919 0.855 0.811 0.907 0.812
P10 0.953 0.950 0.938 0.922 0.890 0.939 0.912 0.895 0.939 0.870
P30 0.983 0.985 0.976 0.967 0.952 0.976 0.970 0.953 0.976 0.948
P50 0.996 0.995 0.992 0.988 0.978 0.991 0.991 0.969 0.991 0.969
