 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.741 0.196 0.268 0.307 0.053 0.683 0.523 0.076 0.267
P3 0.869 0.386 0.505 0.619 0.332 0.778 0.712 0.338 0.505
P5 0.894 0.642 0.680 0.633 0.375 0.781 0.753 0.432 0.694
P10 0.930 0.864 0.829 0.784 0.629 0.877 0.796 0.697 0.886
P30 0.970 0.964 0.954 0.914 0.850 0.944 0.925 0.883 0.959
P50 0.988 0.986 0.973 0.952 0.921 0.969 0.971 0.936 0.974
