 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.879 0.797 0.735 0.742 0.641 0.867 0.752 0.640 0.729
P3 0.916 0.902 0.873 0.832 0.776 0.911 0.827 0.783 0.873
P5 0.934 0.927 0.911 0.890 0.849 0.923 0.870 0.853 0.908
P10 0.953 0.949 0.940 0.930 0.911 0.942 0.923 0.910 0.940
P30 0.986 0.987 0.978 0.972 0.958 0.978 0.971 0.958 0.978
P50 0.997 0.996 0.993 0.990 0.980 0.992 0.991 0.973 0.992
