 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.886 0.854 0.813 0.833 0.626 0.843 0.664 0.672 0.824
P3 0.945 0.942 0.926 0.924 0.799 0.881 0.754 0.824 0.928
P5 0.965 0.965 0.941 0.938 0.870 0.909 0.792 0.881 0.948
P10 0.978 0.982 0.962 0.953 0.918 0.946 0.862 0.923 0.968
P30 0.997 0.996 0.992 0.985 0.970 0.978 0.922 0.971 0.993
P50 0.999 0.998 0.997 0.994 0.987 0.985 0.954 0.987 0.997
