 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
P1 0.876 0.739 0.682 0.789 0.625 0.894 0.802 0.609 0.682 0.753
P3 0.904 0.891 0.859 0.840 0.775 0.904 0.870 0.776 0.841 0.874
P5 0.906 0.904 0.887 0.895 0.819 0.914 0.906 0.796 0.888 0.885
P10 0.921 0.924 0.901 0.911 0.871 0.930 0.939 0.870 0.896 0.902
P30 0.972 0.965 0.964 0.953 0.943 0.978 0.965 0.937 0.965 0.927
P50 0.989 0.988 0.991 0.989 0.986 0.989 0.993 0.976 0.990 0.960
