 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.677 0.558 0.381 0.624 0.220 0.629 0.652 0.238 0.380
P3 0.805 0.695 0.562 0.779 0.313 0.750 0.755 0.322 0.561
P5 0.872 0.812 0.788 0.790 0.589 0.826 0.795 0.625 0.788
P10 0.952 0.937 0.866 0.807 0.737 0.869 0.874 0.759 0.906
P30 0.985 0.985 0.971 0.966 0.924 0.959 0.946 0.924 0.973
P50 0.991 0.993 0.987 0.981 0.958 0.982 0.982 0.956 0.986
