 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.755 0.581 0.575 0.620 0.440 0.640 0.555 0.453 0.575
P3 0.802 0.713 0.627 0.749 0.488 0.764 0.660 0.499 0.627
P5 0.806 0.867 0.780 0.777 0.691 0.777 0.712 0.690 0.780
P10 0.873 0.947 0.831 0.814 0.780 0.811 0.823 0.786 0.829
P30 0.989 0.989 0.985 0.975 0.919 0.954 0.906 0.932 0.986
P50 0.995 0.995 0.993 0.989 0.965 0.978 0.955 0.971 0.993
