 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.680 0.229 0.119 0.038 0.034 0.730 0.663 0.098 0.119
P3 0.774 0.663 0.227 0.605 0.139 0.839 0.798 0.481 0.227
P5 0.824 0.763 0.680 0.713 0.501 0.850 0.820 0.564 0.673
P10 0.926 0.848 0.829 0.825 0.668 0.890 0.851 0.701 0.831
P30 0.969 0.932 0.930 0.920 0.836 0.965 0.949 0.869 0.934
P50 0.983 0.982 0.967 0.961 0.922 0.982 0.985 0.933 0.968
