 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.856 0.811 0.706 0.806 0.662 0.871 0.929 0.669 0.705
P3 0.893 0.890 0.855 0.869 0.855 0.909 0.962 0.819 0.826
P5 0.911 0.906 0.892 0.895 0.896 0.929 0.970 0.849 0.861
P10 0.936 0.932 0.923 0.929 0.927 0.954 0.979 0.893 0.911
P30 0.980 0.978 0.978 0.980 0.977 0.985 0.993 0.964 0.976
P50 0.991 0.991 0.995 0.991 0.994 0.992 0.999 0.988 0.993
