#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
202312_kv_traces_all.csv.oracleGeneral.zst,7516192768,0.0808,0.0535,0.0821,0.0755,0.0711,0.0804,0.0879,0.1056,0.0796,0.0738,0.1456,0.0794,0.0766,0.0713,0.0696,0.0693,0.07,0.0702,0.0703,0.0857,0.0693
202401_kv_traces_all_sort.csv.oracleGeneral.zst,1073741824,0.0708,0.0459,0.0716,0.0698,0.0678,0.0796,0.0925,0.1114,0.0835,0.0721,0.1335,0.0905,0.071,0.068,0.0667,0.0649,0.0653,0.0661,0.0665,0.0717,0.0653
202210_kv_traces_all_sort.csv.oracleGeneral.zst,2147483648,0.155,0.1076,0.1563,0.1427,0.1387,0.1527,0.151,0.1743,0.1531,0.1385,0.2184,0.156,0.1447,0.1393,0.1361,0.1294,0.1281,0.1341,0.127,0.1497,0.1272
202206_kv_traces_all.csv.oracleGeneral.zst,1073741824,0.1171,0.0743,0.1185,0.1103,0.1055,0.1206,0.135,0.1925,0.139,0.1075,0.2118,0.1331,0.111,0.1055,0.1028,0.0981,0.0973,0.1018,0.0973,0.1117,0.0964
meta_kvcache_traces_1.oracleGeneral.bin.zst,486539264,0.1775,0.1105,0.1779,0.172,0.1664,0.1884,0.2148,0.2728,0.2226,0.1702,0.3051,0.2691,0.1763,0.1679,0.1624,0.1601,0.1617,0.1642,0.1618,0.1836,0.16
