#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
202312_kv_traces_all.csv.oracleGeneral.zst,24696061952,0.0678,0.0467,0.0675,0.0608,0.0575,0.0626,0.0596,0.0637,0.0616,0.0566,0.0953,0.0581,0.0608,0.0575,0.0566,0.0539,0.0538,0.0559,0.0554,0.0604,0.0535
202401_kv_traces_all_sort.csv.oracleGeneral.zst,4294967296,0.0534,0.0348,0.0545,0.0498,0.0482,0.0546,0.0513,0.0563,0.0559,0.0473,0.0752,0.0592,0.0507,0.0482,0.0473,0.044,0.0438,0.0458,0.0442,0.0472,0.0436
202210_kv_traces_all_sort.csv.oracleGeneral.zst,8589934592,0.1269,0.103,0.129,0.1268,0.1187,0.1279,0.1247,0.1161,0.1251,0.1158,0.1567,0.1242,0.1167,0.1192,0.1137,0.1103,0.1101,0.1125,0.1152,0.1144,0.1097
202206_kv_traces_all.csv.oracleGeneral.zst,5368709120,0.0909,0.0628,0.0914,0.0842,0.08,0.0899,0.0906,0.1043,0.0861,0.0781,0.1245,0.0861,0.0797,0.0801,0.0773,0.0731,0.0723,0.0755,0.0751,0.0768,0.0722
meta_kvcache_traces_1.oracleGeneral.bin.zst,1622147072,0.1278,0.0834,0.1286,0.1201,0.1156,0.1315,0.1402,0.1906,0.1364,0.119,0.2079,0.1632,0.1212,0.1156,0.1126,0.1082,0.108,0.1122,0.1102,0.1249,0.1079
