#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
fiu_madmax-110108-112108.oracleGeneral.zst,13993,0.8262,0.5322,0.8262,0.7575,0.8338,0.8364,0.7582,0.8323,0.7144,0.8232,0.8262,0.8321,0.6003,0.8342,0.8342,0.6611,0.6617,0.8262,0.8197,0.5789,0.6079
fiu_webusers-030409-033109.oracleGeneral.zst,18774,0.7052,0.3838,0.6609,0.6892,0.7369,0.7432,0.6073,0.7341,0.5635,0.7232,0.7186,0.4845,0.4242,0.7373,0.7367,0.4997,0.4942,0.7186,0.6777,0.4669,0.5388
fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst,2981836,0.066,0.045,0.0656,0.0697,0.0712,0.0862,0.0856,0.0671,0.0733,0.0713,0.1106,0.0788,0.0668,0.0724,0.0717,0.064,0.0643,0.0651,0.0709,0.0691,0.0647
fiu_casa-110108-112108.oracleGeneral.zst,65168,0.09,0.0635,0.0896,0.1043,0.1322,0.1406,0.1256,0.1154,0.1134,0.139,0.157,0.1048,0.0871,0.1268,0.0885,0.0874,0.0912,0.1093,0.0929,0.1001,0.1013
fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral.zst,97733,0.2536,0.1108,0.214,0.244,0.2263,0.2642,0.2165,0.2046,0.1947,0.2339,0.2698,0.2008,0.1517,0.2617,0.2159,0.1742,0.1694,0.2667,0.2065,0.2008,0.1788
fiu_online.cs.fiu.edu-110108-113008.oracleGeneral.zst,39362,0.3515,0.2637,0.3404,0.2841,0.4904,0.4837,0.4998,0.3922,0.4327,0.5448,0.5629,0.4131,0.2929,0.5098,0.3942,0.3311,0.3166,0.5629,0.3526,0.2981,0.3006
fiu_webresearch-030409-033109.oracleGeneral.zst,9076,0.6394,0.484,0.6394,0.6393,0.6475,0.6574,0.6287,0.6446,0.5925,0.6444,0.6394,0.5756,0.4997,0.648,0.6472,0.6393,0.6432,0.6394,0.6445,0.5181,0.5073
fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral.zst,109834,0.2435,0.1863,0.2337,0.3075,0.3251,0.3516,0.3509,0.2578,0.2852,0.3447,0.3768,0.2772,0.2145,0.3412,0.2933,0.2261,0.2264,0.3315,0.2507,0.2329,0.221
fiu_homes-110108-112108.oracleGeneral.zst,336881,0.1718,0.1173,0.1795,0.1848,0.1975,0.2213,0.2228,0.2066,0.2061,0.2285,0.2928,0.2085,0.1784,0.1991,0.1881,0.1859,0.1875,0.219,0.1778,0.2262,0.1918
fiu_ikki-110108-112108.oracleGeneral.zst,189651,0.2911,0.2061,0.2917,0.2916,0.3268,0.3504,0.3641,0.3171,0.3465,0.3489,0.3993,0.3324,0.2957,0.3297,0.2981,0.2992,0.306,0.3435,0.2977,0.3914,0.2976
