#cachesize merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.275 0.225 0.154 0.236 0.048 0.166 0.111 0.059
0.010 0.304 0.265 0.188 0.274 0.041 0.252 0.216 0.064
0.030 0.216 0.184 0.148 0.191 0.047 0.204 0.185 0.021
0.100 0.137 0.106 0.070 0.117 0.029 0.145 0.132 -0.003
0.200 0.090 0.058 0.027 0.086 0.015 0.102 0.089 -0.022
0.400 0.035 0.016 0.008 0.040 0.005 0.038 0.035 -0.023
