#dataset merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
Twitter 0.001 0.005 -0.011 0.002 0.003 -0.026 -0.013 -0.018
MetaKV 0.008 0.007 -0.011 -0.004 0.003 -0.006 -0.011 -0.070
MetaCDN 0.003 0.008 -0.007 -0.002 -0.000 0.004 0.039 0.070
TencentPhoto 0.045 0.041 -0.014 0.011 0.034 0.009 -0.041 -0.038
Wikimedia 0.108 0.117 0.092 0.096 0.064 0.076 0.089 -0.047
Tencent 0.117 0.103 0.023 0.118 0.022 0.074 0.059 -0.066
Systor 0.459 0.500 0.366 0.314 0.028 0.383 0.387 0.393
fiu 0.098 0.054 0.057 0.009 0.013 0.108 0.045 0.009
MSR 0.611 0.139 0.124 0.499 0.069 0.498 0.501 0.148
Alibaba 0.216 0.184 0.148 0.191 0.047 0.204 0.185 0.021
CloudPhysics 0.291 0.210 0.145 0.256 0.032 0.268 0.260 0.036
