#dataset merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
Twitter 0.007 0.009 -0.004 0.000 0.001 -0.015 -0.004 -0.008
MetaKV 0.007 0.007 -0.010 -0.005 0.003 -0.002 -0.001 -0.025
MetaCDN 0.003 0.007 -0.006 -0.002 0.000 0.007 0.031 0.046
TencentPhoto 0.014 0.012 -0.032 -0.001 0.013 -0.008 -0.057 -0.014
Wikimedia 0.047 0.050 0.043 0.053 0.026 0.036 0.039 -0.025
Tencent 0.074 0.063 0.024 0.063 0.010 0.074 0.072 -0.031
Systor 0.272 0.317 0.268 0.329 0.010 0.339 0.287 0.190
fiu 0.284 0.149 0.121 0.171 0.033 0.329 0.278 0.030
MSR 0.670 0.260 0.184 0.357 0.026 0.569 0.508 0.146
Alibaba 0.139 0.106 0.070 0.118 0.029 0.145 0.132 -0.004
CloudPhysics 0.314 0.196 0.111 0.265 0.033 0.303 0.290 0.073
