#dataset merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
Twitter -0.005 0.000 -0.006 -0.002 0.011 -0.032 -0.021 -0.047
MetaKV 0.009 0.008 -0.005 -0.002 0.005 -0.007 -0.014 -0.098
MetaCDN 0.002 0.006 -0.008 -0.001 0.000 0.000 0.025 0.078
TencentPhoto 0.094 0.093 0.017 0.031 0.063 0.027 -0.013 -0.062
Wikimedia 0.196 0.211 0.148 0.191 0.114 0.140 0.172 -0.037
Tencent 0.152 0.136 0.033 0.175 0.037 0.056 0.016 -0.035
Systor 0.459 0.553 0.207 0.300 0.011 0.419 0.429 0.416
fiu 0.098 0.093 0.099 0.100 0.022 0.105 -0.028 0.040
MSR 0.441 0.132 0.031 0.182 0.029 0.339 0.311 0.158
Alibaba 0.304 0.265 0.188 0.274 0.041 0.251 0.215 0.064
CloudPhysics 0.286 0.224 0.130 0.242 0.042 0.218 0.216 -0.009
