#cachesize merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.274 0.271 0.276 0.254 0.076 0.271 0.089 0.127
0.010 0.098 0.093 0.099 0.100 0.022 0.105 -0.028 0.040
0.030 0.097 0.054 0.057 0.009 0.013 0.108 0.045 0.009
0.100 0.284 0.149 0.121 0.171 0.033 0.329 0.278 0.030
0.200 0.257 0.193 0.084 0.172 0.074 0.284 0.242 0.091
0.400 0.180 0.159 0.017 0.114 0.066 0.230 0.214 0.103
