#file,merlin-0.01-0.01-0.25-32-1.0,merlin-0.01-0.01-0.50-32-1.0,merlin-0.01-0.01-1.00-32-1.0,merlin-0.01-0.01-2.00-32-1.0,merlin-0.01-0.05-0.25-32-1.0,merlin-0.01-0.05-0.50-32-1.0,merlin-0.01-0.05-1.00-32-1.0,merlin-0.01-0.05-2.00-32-1.0,merlin-0.01-0.10-0.25-32-1.0,merlin-0.01-0.10-0.50-32-1.0,merlin-0.01-0.10-1.00-32-1.0,merlin-0.01-0.10-2.00-32-1.0,merlin-0.05-0.01-0.25-32-1.0,merlin-0.05-0.01-0.50-32-1.0,merlin-0.05-0.01-1.00-32-1.0,merlin-0.05-0.01-2.00-32-1.0,merlin-0.05-0.05-0.25-32-1.0,merlin-0.05-0.05-0.50-32-1.0,merlin-0.05-0.05-1.00-32-1.0,merlin-0.05-0.05-2.00-32-1.0,merlin-0.05-0.10-0.25-32-1.0,merlin-0.05-0.10-0.50-32-1.0,merlin-0.05-0.10-1.00-32-1.0,merlin-0.05-0.10-2.00-32-1.0,merlin-0.10-0.01-0.25-32-1.0,merlin-0.10-0.01-0.50-32-1.0,merlin-0.10-0.01-1.00-32-1.0,merlin-0.10-0.01-2.00-32-1.0,merlin-0.10-0.05-0.25-32-1.0,merlin-0.10-0.05-0.50-32-1.0,merlin-0.10-0.05-1.00-32-1.0,merlin-0.10-0.05-2.00-32-1.0,merlin-0.10-0.10-0.25-32-1.0,merlin-0.10-0.10-0.50-32-1.0,merlin-0.10-0.10-1.00-32-1.0,merlin-0.10-0.10-2.00-32-1.0,merlin-0.15-0.01-0.25-32-1.0,merlin-0.15-0.01-0.50-32-1.0,merlin-0.15-0.01-1.00-32-1.0,merlin-0.15-0.01-2.00-32-1.0,merlin-0.15-0.05-0.25-32-1.0,merlin-0.15-0.05-0.50-32-1.0,merlin-0.15-0.05-1.00-32-1.0,merlin-0.15-0.05-2.00-32-1.0,merlin-0.15-0.10-0.25-32-1.0,merlin-0.15-0.10-0.50-32-1.0,merlin-0.15-0.10-1.00-32-1.0,merlin-0.15-0.10-2.00-32-1.0
2016_LUN4.oracleGeneral.zst_530623433,0.1642,0.1624,0.1621,0.1621,0.1642,0.1624,0.1621,0.1621,0.1642,0.1624,0.1621,0.1621,0.16,0.1583,0.1584,0.1584,0.16,0.1583,0.1584,0.1584,0.16,0.1583,0.1584,0.1584,0.1586,0.1586,0.1586,0.1586,0.1586,0.1586,0.1587,0.1587,0.1586,0.1586,0.1588,0.1588,0.1589,0.1598,0.1601,0.1601,0.1589,0.1598,0.1602,0.1602,0.1589,0.1598,0.1602,0.1602
2016_LUN3.oracleGeneral.zst_609867155,0.1845,0.1872,0.1886,0.1886,0.1844,0.1872,0.1886,0.1886,0.1849,0.1872,0.1886,0.1886,0.1813,0.1861,0.1848,0.1848,0.1813,0.1861,0.1848,0.1848,0.1814,0.1861,0.1848,0.1848,0.1843,0.1886,0.1867,0.1867,0.1843,0.1886,0.1868,0.1868,0.1844,0.1886,0.1868,0.1868,0.1847,0.1888,0.1879,0.1879,0.1849,0.189,0.1879,0.1879,0.1851,0.189,0.1879,0.1879
2016_LUN0.oracleGeneral.zst_552023811,0.1679,0.1666,0.1672,0.1672,0.1679,0.1666,0.1672,0.1672,0.168,0.1666,0.1672,0.1672,0.1619,0.1612,0.1617,0.1617,0.1619,0.1612,0.1617,0.1617,0.162,0.1613,0.1617,0.1617,0.1603,0.1596,0.1605,0.1605,0.1604,0.1595,0.1606,0.1606,0.1604,0.1595,0.1606,0.1606,0.1602,0.161,0.1617,0.1617,0.1602,0.161,0.1617,0.1617,0.1602,0.161,0.1617,0.1617
2016_LUN1.oracleGeneral.zst_492030661,0.1754,0.1743,0.1744,0.1744,0.1753,0.1743,0.1744,0.1744,0.1752,0.1743,0.1744,0.1744,0.1727,0.1716,0.1717,0.1717,0.1727,0.1716,0.1717,0.1717,0.1727,0.1716,0.1717,0.1717,0.1701,0.1708,0.1708,0.1708,0.1701,0.1708,0.1709,0.1709,0.1701,0.1708,0.1709,0.1709,0.1698,0.1715,0.1719,0.1719,0.1698,0.1715,0.1719,0.1719,0.1698,0.171,0.1714,0.1714
2016_LUN6.oracleGeneral.zst_655119703,0.1566,0.1543,0.154,0.154,0.1566,0.1543,0.154,0.154,0.1565,0.1543,0.154,0.154,0.149,0.147,0.1468,0.1468,0.149,0.1469,0.1468,0.1468,0.149,0.1469,0.1468,0.1468,0.1463,0.1448,0.1448,0.1448,0.1463,0.1448,0.1448,0.1448,0.1463,0.1448,0.1448,0.1448,0.1455,0.1457,0.1458,0.1458,0.1455,0.1457,0.1458,0.1458,0.1455,0.1457,0.146,0.146
2016_LUN2.oracleGeneral.zst_691221362,0.1473,0.1459,0.1458,0.1458,0.1472,0.1459,0.1458,0.1458,0.1472,0.1459,0.1458,0.1458,0.1409,0.1397,0.1398,0.1398,0.1409,0.1397,0.1398,0.1398,0.1409,0.1398,0.1398,0.1398,0.1389,0.1393,0.1393,0.1393,0.1389,0.1393,0.1393,0.1393,0.1389,0.1393,0.1393,0.1393,0.1389,0.1395,0.1397,0.1397,0.1389,0.1395,0.1397,0.1397,0.1389,0.1395,0.1396,0.1396
