#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
wiki_2016u.oracleGeneral.zst_2803498585,53000000000.0,0.6328,0.4982,0.4863,0.4934,0.6225,0.6371,0.5116,0.5371,0.5736,0.5332,0.5009,0.3737,0.5774,0.5211,0.6148,0.4891,0.49,0.5914,0.5069,0.6476,0.4789,0.496
wiki_2019t.oracleGeneral.zst_207646002,3000000000.0,0.5183,0.4338,0.3958,0.423,0.5409,0.4281,0.3941,0.4248,0.4404,0.4128,0.4053,0.2783,0.4523,0.407,0.4641,0.375,0.3789,0.4661,0.4406,0.6204,0.3811,0.3819
wiki_2019u.oracleGeneral.zst_2655612611,78000000000.0,0.5785,0.4562,0.4816,0.4518,0.5634,0.561,0.4525,0.4805,0.5111,0.4853,0.446,0.3321,0.5187,0.4683,0.5402,0.4327,0.4374,0.5322,0.4745,0.5959,0.4386,0.4398
