#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
meta_rnha.oracleGeneral.zst,76468671479808,0.2332,0.1747,0.2335,0.2281,0.2296,0.2297,0.2003,0.1759,0.202,0.2338,0.2584,0.1869,0.2195,0.2254,0.2254,0.227,0.2216,0.2293,0.2173,0.1897,0.2242
meta_rprn.oracleGeneral.zst,73261404651520,0.2432,0.198,0.2423,0.2414,0.2433,0.2442,0.2207,0.2049,0.2235,0.2449,0.2557,0.2144,0.2337,0.2405,0.2405,0.2394,0.2331,0.2419,0.2338,0.2183,0.2377
meta_reag.oracleGeneral.zst,18117245796352,0.1791,0.144,0.1789,0.1757,0.1776,0.18,0.1638,0.153,0.1637,0.181,0.1943,0.163,0.1721,0.1753,0.1753,0.1749,0.17,0.1768,0.1712,0.1615,0.1734
