s3fifo 1 0.1471 0.58
s3fifo 2 0.1469 1.12
s3fifo 4 0.1465 2.22
s3fifo 8 0.1456 4.40
s3fifo 16 0.1459 8.77
s3fifo 24 0.1459 13.15
s3fifo 32 0.1458 17.53
