#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
cluster24.oracleGeneral.zst_3289457233,475000000.0,0.0189,0.0131,0.0124,0.0131,0.0127,0.0129,0.0124,0.0123,0.0131,0.0123,0.0111,0.0063,0.0131,0.0124,0.0147,0.0114,0.0117,0.013,0.0319,0.0196,0.0117,0.0115
cluster45.oracleGeneral.zst_227773739,542000000.0,0.3212,0.3154,0.3099,0.3152,0.337,0.3087,0.3092,0.3023,0.3062,0.304,0.3122,0.2369,0.3087,0.3091,0.3095,0.2977,0.2977,0.3097,0.3396,0.3185,0.3012,0.2963
cluster44.oracleGeneral.zst_5702089313,404000000.0,0.0254,0.0226,0.0217,0.0226,0.0209,0.0195,0.0199,0.0193,0.0209,0.0195,0.023,0.0117,0.0204,0.0198,0.0215,0.0181,0.0185,0.0202,0.2387,0.0281,0.0189,0.0186
cluster22.oracleGeneral.zst_2030691718,4000000000.0,0.2405,0.2321,0.2348,0.2303,0.2289,0.2241,0.2316,0.2261,0.2293,0.2282,0.2262,0.1989,0.2332,0.232,0.2291,0.2206,0.2257,0.2287,0.3312,0.2244,0.2291,0.2239
cluster42.oracleGeneral.zst_3904264364,197000000.0,0.01,0.0056,0.0055,0.0058,0.0099,0.0313,0.0061,0.0055,0.0095,0.0063,0.0051,0.0024,0.0059,0.0057,0.0425,0.0053,0.0053,0.0057,0.0347,0.0195,0.0054,0.0055
cluster43.oracleGeneral.zst_9038233795,3000000000.0,0.0023,0.0016,0.0017,0.0016,0.0017,0.0019,0.0017,0.0016,0.0016,0.0017,0.0029,0.0014,0.0017,0.0016,0.0026,0.0016,0.0016,0.0016,0.0144,0.0042,0.0017,0.0016
cluster9.oracleGeneral.zst_10646675648,98000000.0,0.0023,0.0018,0.0018,0.0018,0.0019,0.0014,0.0015,0.0015,0.0015,0.0016,0.0015,0.0009,0.0017,0.0015,0.0017,0.0014,0.0014,0.0016,0.0452,0.0035,0.0016,0.0014
cluster8.oracleGeneral.zst_1302137879,204000000.0,0.4087,0.4044,0.4162,0.4071,0.4125,0.4685,0.3434,0.3899,0.3958,0.4177,0.4344,0.2254,0.406,0.6466,0.423,0.3342,0.3911,0.4043,0.7404,0.4397,0.4782,0.3827
cluster54.oracleGeneral.zst_11866133317,810000000.0,0.0671,0.0428,0.0417,0.0429,0.0507,0.0477,0.0428,0.0401,0.0413,0.0405,0.0383,0.0186,0.0427,0.0424,0.0512,0.0377,0.0384,0.0424,0.0688,0.1064,0.0395,0.039
cluster36.oracleGeneral.zst_5781263748,432000000.0,0.0504,0.0388,0.0408,0.041,0.0412,0.0496,0.0352,0.0387,0.0449,0.0403,0.0316,0.0185,0.0415,0.037,0.0582,0.0349,0.0347,0.0376,0.1349,0.0611,0.0366,0.0343
cluster10.oracleGeneral.zst_139150615,291000000.0,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.8597,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst_1828228908,25000000000.0,0.0568,0.0569,0.0568,0.057,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.3816,0.0568,0.0568,0.0568
