#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
2016_LUN3.oracleGeneral.zst,237583,0.7548,0.6535,0.7542,0.7599,0.7786,0.7933,0.7786,0.7673,0.7925,0.7785,0.8538,0.7633,0.7593,0.7814,0.7806,0.7528,0.7513,0.7634,0.7566,0.7712,0.7529
2016_LUN6.oracleGeneral.zst,217180,0.7783,0.6608,0.7761,0.7884,0.8051,0.8196,0.8019,0.7956,0.8077,0.8045,0.8676,0.79,0.7821,0.808,0.807,0.7765,0.7687,0.7889,0.7774,0.7788,0.7811
2016_LUN2.oracleGeneral.zst,214255,0.7147,0.6259,0.7144,0.7174,0.7319,0.7455,0.7323,0.7236,0.7423,0.7322,0.8745,0.7208,0.7182,0.7347,0.7338,0.7132,0.7115,0.7202,0.715,0.7245,0.714
2016_LUN1.oracleGeneral.zst,180725,0.7353,0.6365,0.7347,0.7394,0.7569,0.7729,0.7572,0.7459,0.7635,0.7568,0.8382,0.7403,0.7394,0.7601,0.7589,0.7327,0.731,0.7433,0.7365,0.7471,0.7338
2016_LUN4.oracleGeneral.zst,183537,0.7732,0.6734,0.7726,0.7798,0.8043,0.8218,0.807,0.7893,0.824,0.8052,0.8748,0.7845,0.776,0.8074,0.8061,0.7711,0.7665,0.7872,0.7718,0.7856,0.7701
2016_LUN0.oracleGeneral.zst,193646,0.7201,0.6274,0.7198,0.7245,0.7446,0.7639,0.7451,0.7306,0.7576,0.7454,0.8134,0.726,0.7238,0.7484,0.7466,0.7186,0.7165,0.7284,0.7213,0.7564,0.7196
