#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
2016_LUN3.oracleGeneral.zst_609867155,7919440.0,0.4812,0.3468,0.4119,0.3519,0.4594,0.4043,0.3565,0.3907,0.4336,0.4391,0.3661,0.2296,0.4318,0.3436,0.4349,0.3602,0.3686,0.4417,0.5322,0.4313,0.4071,0.368
2016_LUN6.oracleGeneral.zst_655119703,7239356.0,0.4598,0.3414,0.4001,0.3519,0.4114,0.3828,0.3465,0.3525,0.4028,0.4107,0.3465,0.2021,0.4035,0.3257,0.4032,0.3554,0.3576,0.4141,0.5616,0.397,0.3819,0.3565
2016_LUN1.oracleGeneral.zst_492030661,6024190.0,0.4877,0.3401,0.4278,0.3457,0.4333,0.4051,0.3712,0.3871,0.43,0.4442,0.3633,0.2207,0.4321,0.332,0.4274,0.365,0.3673,0.4467,0.5149,0.4207,0.4104,0.3658
2016_LUN0.oracleGeneral.zst_552023811,6454899.0,0.4653,0.3266,0.3972,0.3363,0.3959,0.3743,0.3462,0.3552,0.4043,0.4163,0.3412,0.2106,0.4053,0.3223,0.4084,0.3475,0.3536,0.4183,0.5059,0.4037,0.3837,0.3498
2016_LUN2.oracleGeneral.zst_691221362,7141841.0,0.4636,0.3513,0.4004,0.3541,0.37,0.3845,0.3505,0.3661,0.4079,0.4156,0.3535,0.21,0.407,0.3286,0.4097,0.3517,0.3538,0.4173,0.5049,0.3983,0.3915,0.359
2016_LUN4.oracleGeneral.zst_530623433,6117903.0,0.4875,0.3507,0.4194,0.3606,0.4016,0.3996,0.3688,0.3835,0.4303,0.4368,0.3706,0.221,0.4275,0.34,0.4298,0.3652,0.3691,0.4391,0.5671,0.4238,0.4118,0.3737
