#cachesize merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.070 0.074 0.064 0.056 0.015 0.037 -0.073 0.025
0.010 0.043 0.042 0.036 0.032 0.009 0.026 -0.018 0.014
0.030 0.045 0.036 0.028 0.026 0.007 0.037 0.029 0.004
0.100 0.040 0.033 0.022 0.020 0.008 0.037 0.042 -0.005
0.200 0.029 0.028 0.021 0.006 0.006 0.033 0.044 -0.003
0.400 0.009 0.007 0.003 0.004 0.004 0.013 0.025 -0.009
