#cachesize merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.094 0.094 0.078 0.076 0.021 0.064 0.039 0.032
0.010 0.118 0.105 0.079 0.084 0.006 0.092 0.090 0.011
0.030 0.111 0.108 0.088 0.081 0.010 0.103 0.096 0.025
0.100 0.060 0.056 0.044 0.046 0.016 0.065 0.051 0.005
0.200 0.037 0.031 0.023 0.025 0.010 0.041 0.037 0.003
0.400 0.013 0.009 0.007 0.009 0.004 0.015 0.010 0.002
