#cachesize merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.035 0.036 0.027 0.020 0.001 -0.003 -0.058 0.026
0.010 0.030 0.033 0.022 0.012 0.001 -0.005 -0.029 0.020
0.030 0.030 0.034 0.019 0.014 0.000 -0.004 -0.022 0.018
0.100 0.037 0.037 0.022 0.019 0.000 0.012 -0.009 0.016
0.200 0.021 0.018 0.020 0.009 0.000 0.008 -0.009 0.008
0.400 0.002 -0.001 0.004 -0.003 0.001 -0.004 -0.009 0.003
