#cachesize merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.207 0.211 0.196 0.159 0.020 0.131 0.104 0.061
0.010 0.182 0.166 0.155 0.156 0.022 0.130 0.082 0.049
0.030 0.205 0.149 0.148 0.130 0.015 0.177 0.154 0.048
0.100 0.217 0.176 0.128 0.136 0.022 0.216 0.207 0.074
0.200 0.158 0.096 0.090 0.081 0.015 0.170 0.165 0.033
0.400 0.144 0.088 0.054 0.088 0.014 0.167 0.157 0.033
