#dataset merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
Twitter 0.011 0.014 0.002 -0.003 0.001 -0.026 -0.022 0.004
MetaKV 0.008 0.008 0.003 0.003 0.004 0.004 0.001 0.004
MetaCDN 0.030 0.034 0.019 0.014 0.000 -0.004 -0.022 0.018
TencentPhoto 0.050 0.047 0.012 0.030 0.019 0.017 -0.091 0.036
Wikimedia 0.076 0.084 0.068 0.035 0.010 0.070 0.084 0.074
Tencent 0.044 0.035 0.028 0.026 0.007 0.037 0.029 0.005
Systor 0.241 0.261 0.239 0.134 0.004 0.233 0.143 0.126
fiu 0.089 0.053 0.059 0.039 0.014 0.098 0.081 0.009
MSR 0.322 0.253 0.107 0.246 0.034 0.265 0.246 0.036
Alibaba 0.111 0.108 0.088 0.081 0.010 0.103 0.096 0.025
CloudPhysics 0.205 0.149 0.148 0.130 0.015 0.177 0.154 0.048
