#cachesize merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
0.003 0.305 0.303 0.297 0.277 0.086 0.309 0.198 0.150
0.010 0.117 0.113 0.115 0.103 0.024 0.125 0.071 0.053
0.030 0.089 0.053 0.059 0.039 0.014 0.098 0.081 0.009
0.100 0.236 0.130 0.095 0.088 0.034 0.284 0.259 0.020
0.200 0.282 0.232 0.078 0.119 0.046 0.326 0.277 0.048
0.400 0.221 0.198 0.019 0.239 0.049 0.301 0.281 0.056
