#file,merlin-0.01-0.01-0.25-32-1.0,merlin-0.01-0.01-0.50-32-1.0,merlin-0.01-0.01-1.00-32-1.0,merlin-0.01-0.01-2.00-32-1.0,merlin-0.01-0.05-0.25-32-1.0,merlin-0.01-0.05-0.50-32-1.0,merlin-0.01-0.05-1.00-32-1.0,merlin-0.01-0.05-2.00-32-1.0,merlin-0.01-0.10-0.25-32-1.0,merlin-0.01-0.10-0.50-32-1.0,merlin-0.01-0.10-1.00-32-1.0,merlin-0.01-0.10-2.00-32-1.0,merlin-0.05-0.01-0.25-32-1.0,merlin-0.05-0.01-0.50-32-1.0,merlin-0.05-0.01-1.00-32-1.0,merlin-0.05-0.01-2.00-32-1.0,merlin-0.05-0.05-0.25-32-1.0,merlin-0.05-0.05-0.50-32-1.0,merlin-0.05-0.05-1.00-32-1.0,merlin-0.05-0.05-2.00-32-1.0,merlin-0.05-0.10-0.25-32-1.0,merlin-0.05-0.10-0.50-32-1.0,merlin-0.05-0.10-1.00-32-1.0,merlin-0.05-0.10-2.00-32-1.0,merlin-0.10-0.01-0.25-32-1.0,merlin-0.10-0.01-0.50-32-1.0,merlin-0.10-0.01-1.00-32-1.0,merlin-0.10-0.01-2.00-32-1.0,merlin-0.10-0.05-0.25-32-1.0,merlin-0.10-0.05-0.50-32-1.0,merlin-0.10-0.05-1.00-32-1.0,merlin-0.10-0.05-2.00-32-1.0,merlin-0.10-0.10-0.25-32-1.0,merlin-0.10-0.10-0.50-32-1.0,merlin-0.10-0.10-1.00-32-1.0,merlin-0.10-0.10-2.00-32-1.0,merlin-0.15-0.01-0.25-32-1.0,merlin-0.15-0.01-0.50-32-1.0,merlin-0.15-0.01-1.00-32-1.0,merlin-0.15-0.01-2.00-32-1.0,merlin-0.15-0.05-0.25-32-1.0,merlin-0.15-0.05-0.50-32-1.0,merlin-0.15-0.05-1.00-32-1.0,merlin-0.15-0.05-2.00-32-1.0,merlin-0.15-0.10-0.25-32-1.0,merlin-0.15-0.10-0.50-32-1.0,merlin-0.15-0.10-1.00-32-1.0,merlin-0.15-0.10-2.00-32-1.0
202210_kv_traces_all_sort.csv.oracleGeneral.zst_1482478166,0.0363,0.036,0.036,0.036,0.0363,0.036,0.036,0.036,0.0362,0.036,0.036,0.036,0.0358,0.0356,0.0356,0.0356,0.0358,0.0356,0.0356,0.0356,0.0358,0.0356,0.0356,0.0356,0.0356,0.0355,0.0355,0.0355,0.0356,0.0355,0.0355,0.0355,0.0356,0.0355,0.0355,0.0355,0.0356,0.0356,0.0356,0.0356,0.0356,0.0356,0.0356,0.0356,0.0356,0.0356,0.0356,0.0356
202206_kv_traces_all.csv.oracleGeneral.zst_1644762386,0.0353,0.0351,0.035,0.035,0.0353,0.0351,0.035,0.035,0.0353,0.0351,0.035,0.035,0.0348,0.0346,0.0346,0.0346,0.0348,0.0346,0.0346,0.0346,0.0348,0.0346,0.0346,0.0346,0.0347,0.0346,0.0346,0.0346,0.0347,0.0346,0.0346,0.0346,0.0347,0.0346,0.0346,0.0346,0.0347,0.0346,0.0346,0.0346,0.0347,0.0346,0.0346,0.0346,0.0347,0.0346,0.0346,0.0346
meta_kvcache_traces_1.oracleGeneral.bin.zst_335173084,0.0566,0.0564,0.0563,0.0563,0.0566,0.0564,0.0563,0.0563,0.0566,0.0564,0.0563,0.0563,0.0558,0.0556,0.0555,0.0555,0.0557,0.0556,0.0555,0.0555,0.0557,0.0556,0.0555,0.0555,0.0554,0.0553,0.0552,0.0552,0.0554,0.0553,0.0552,0.0552,0.0554,0.0553,0.0552,0.0552,0.0552,0.0552,0.0551,0.0551,0.0552,0.0552,0.0551,0.0551,0.0552,0.0552,0.0551,0.0551
202312_kv_traces_all.csv.oracleGeneral.zst_8660501058,0.0265,0.0262,0.0262,0.0262,0.0264,0.0262,0.0262,0.0262,0.0264,0.0262,0.0262,0.0262,0.026,0.0258,0.0258,0.0258,0.0259,0.0258,0.0258,0.0258,0.0259,0.0258,0.0258,0.0258,0.0258,0.0257,0.0257,0.0257,0.0258,0.0257,0.0257,0.0257,0.0258,0.0257,0.0257,0.0257,0.0258,0.0257,0.0257,0.0257,0.0258,0.0257,0.0257,0.0257,0.0258,0.0257,0.0257,0.0257
202401_kv_traces_all_sort.csv.oracleGeneral.zst_1191241025,0.0534,0.053,0.0529,0.0529,0.0534,0.053,0.0529,0.0529,0.0534,0.053,0.0529,0.0529,0.0524,0.0521,0.052,0.052,0.0524,0.0521,0.052,0.052,0.0524,0.0521,0.052,0.052,0.0519,0.0516,0.0516,0.0516,0.0519,0.0516,0.0516,0.0516,0.0518,0.0516,0.0516,0.0516,0.0517,0.0516,0.0516,0.0516,0.0517,0.0516,0.0516,0.0516,0.0517,0.0516,0.0516,0.0516
