log_name, dram_ratio, miss_ratio, write_byte
w63.oracleGeneral.bin, 0.1, 0.8480, 0.0344
w97.oracleGeneral.bin, 0.1, 0.7241, 0.0098
w31.oracleGeneral.bin, 0.1, 0.9320, 0.0000
w88.oracleGeneral.bin, 0.1, 0.4525, 0.2874
w49.oracleGeneral.bin, 0.1, 0.6910, 0.0225
w102.oracleGeneral.bin, 0.1, 0.3130, 0.0241
w46.oracleGeneral.bin, 0.1, 0.6327, 0.0058
w96.oracleGeneral.bin, 0.1, 0.8973, 0.0217
w77.oracleGeneral.bin, 0.1, 0.5810, 0.0386
w16.oracleGeneral.bin, 0.1, 0.8814, 0.1879
w72.oracleGeneral.bin, 0.1, 0.4776, 0.2390
w92.oracleGeneral.bin, 0.1, 0.8637, 0.0000
w68.oracleGeneral.bin, 0.1, 0.5947, 0.0700
w100.oracleGeneral.bin, 0.1, 0.7241, 0.0096
w39.oracleGeneral.bin, 0.1, 0.1329, 0.0469
w78.oracleGeneral.bin, 0.1, 0.5992, 0.0101
w87.oracleGeneral.bin, 0.1, 0.8671, 0.0963
w89.oracleGeneral.bin, 0.1, 0.4530, 0.0945
w75.oracleGeneral.bin, 0.1, 0.3217, 0.0316
w13.oracleGeneral.bin, 0.1, 0.7918, 0.0082
w29.oracleGeneral.bin, 0.1, 0.8674, 0.0205
w41.oracleGeneral.bin, 0.1, 0.1399, 0.0307
w74.oracleGeneral.bin, 0.1, 0.2360, 0.0617
w50.oracleGeneral.bin, 0.1, 0.9159, 0.0470
w25.oracleGeneral.bin, 0.1, 0.8895, 0.1206
w32.oracleGeneral.bin, 0.1, 0.7640, 0.0006
w81.oracleGeneral.bin, 0.1, 0.7544, 0.0017
w23.oracleGeneral.bin, 0.1, 0.7576, 0.0485
w69.oracleGeneral.bin, 0.1, 0.6691, 0.0346
w04.oracleGeneral.bin, 0.1, 0.5276, 0.0546
w101.oracleGeneral.bin, 0.1, 0.7174, 0.0096
w20.oracleGeneral.bin, 0.1, 0.7486, 0.0527
w43.oracleGeneral.bin, 0.1, 0.7972, 0.0219
w34.oracleGeneral.bin, 0.1, 0.8958, 0.0046
w83.oracleGeneral.bin, 0.1, 0.4831, 0.0041
w106.oracleGeneral.bin, 0.1, 0.3272, 0.0225
w93.oracleGeneral.bin, 0.1, 0.8765, 0.0000
w86.oracleGeneral.bin, 0.1, 0.9561, 1.1003
w03.oracleGeneral.bin, 0.1, 0.6722, 0.0463
w56.oracleGeneral.bin, 0.1, 0.4038, 0.0455
w24.oracleGeneral.bin, 0.1, 0.6615, 0.0265
w82.oracleGeneral.bin, 0.1, 0.5934, 0.6508
w103.oracleGeneral.bin, 0.1, 0.3741, 0.0510
w55.oracleGeneral.bin, 0.1, 0.8821, 0.0000
w28.oracleGeneral.bin, 0.1, 0.8322, 0.0000
w51.oracleGeneral.bin, 0.1, 0.4986, 0.0142
w53.oracleGeneral.bin, 0.1, 0.7091, 0.0699
w54.oracleGeneral.bin, 0.1, 0.9129, 0.0000
w94.oracleGeneral.bin, 0.1, 0.9717, 0.0000
w79.oracleGeneral.bin, 0.1, 0.9843, 0.0066
w104.oracleGeneral.bin, 0.1, 0.9270, 0.6464
w01.oracleGeneral.bin, 0.1, 0.8482, 0.0000
w67.oracleGeneral.bin, 0.1, 0.2274, 0.0400
w90.oracleGeneral.bin, 0.1, 0.8111, 0.0240
w22.oracleGeneral.bin, 0.1, 0.9054, 0.1306
w85.oracleGeneral.bin, 0.1, 0.8943, 0.0000
w71.oracleGeneral.bin, 0.1, 0.4939, 0.0993
w80.oracleGeneral.bin, 0.1, 0.8463, 0.0125
w64.oracleGeneral.bin, 0.1, 0.9132, 0.0023
w05.oracleGeneral.bin, 0.1, 0.8527, 0.0895
w70.oracleGeneral.bin, 0.1, 0.4449, 0.0968
w73.oracleGeneral.bin, 0.1, 0.6670, 0.0213
w42.oracleGeneral.bin, 0.1, 0.8232, 0.0890
w27.oracleGeneral.bin, 0.1, 0.8503, 0.0284
w02.oracleGeneral.bin, 0.1, 0.9512, 3.4239
w65.oracleGeneral.bin, 0.1, 0.9852, 0.0043
w57.oracleGeneral.bin, 0.1, 0.4036, 0.0522
w21.oracleGeneral.bin, 0.1, 0.9233, 0.2787
w47.oracleGeneral.bin, 0.1, 0.1640, 0.1660
w76.oracleGeneral.bin, 0.1, 0.4045, 0.0184
w18.oracleGeneral.bin, 0.1, 0.8203, 0.2067
w52.oracleGeneral.bin, 0.1, 0.5139, 0.0330
w10.oracleGeneral.bin, 0.1, 0.7161, 0.0710
w07.oracleGeneral.bin, 0.1, 0.7605, 0.0135
w45.oracleGeneral.bin, 0.1, 0.1825, 0.1650
w99.oracleGeneral.bin, 0.1, 0.6872, 0.8592
w48.oracleGeneral.bin, 0.1, 0.9426, 0.0051
w60.oracleGeneral.bin, 0.1, 0.8621, 0.1057
w61.oracleGeneral.bin, 0.1, 0.9527, 0.0496
w15.oracleGeneral.bin, 0.1, 0.9402, 0.0091
w19.oracleGeneral.bin, 0.1, 0.9014, 0.4887
w14.oracleGeneral.bin, 0.1, 0.5848, 0.0450
w37.oracleGeneral.bin, 0.1, 0.7658, 0.0161
w06.oracleGeneral.bin, 0.1, 0.3649, 0.0153
w26.oracleGeneral.bin, 0.1, 0.5373, 0.0054
w09.oracleGeneral.bin, 0.1, 0.5655, 0.0153
w84.oracleGeneral.bin, 0.1, 0.5864, 0.1127
w17.oracleGeneral.bin, 0.1, 0.6868, 0.0654
w62.oracleGeneral.bin, 0.1, 0.9375, 0.0033
w35.oracleGeneral.bin, 0.1, 0.3808, 0.0500
w95.oracleGeneral.bin, 0.1, 0.4431, 0.1375
w11.oracleGeneral.bin, 0.1, 0.9833, 0.0102
w66.oracleGeneral.bin, 0.1, 0.5812, 0.7493
w38.oracleGeneral.bin, 0.1, 0.7311, 0.1370
w36.oracleGeneral.bin, 0.1, 0.1929, 0.0753
w105.oracleGeneral.bin, 0.1, 0.8740, 0.0000
w12.oracleGeneral.bin, 0.1, 0.0716, 0.0268
w44.oracleGeneral.bin, 0.1, 0.9423, 0.1784
w08.oracleGeneral.bin, 0.1, 0.9570, 0.0642
w98.oracleGeneral.bin, 0.1, 0.7271, 0.0098
w91.oracleGeneral.bin, 0.1, 0.7636, 0.0013
w33.oracleGeneral.bin, 0.1, 0.2100, 0.0724
w59.oracleGeneral.bin, 0.1, 0.9761, 0.1183
w30.oracleGeneral.bin, 0.1, 0.9392, 0.0968
w40.oracleGeneral.bin, 0.1, 0.1650, 0.0625
w58.oracleGeneral.bin, 0.1, 0.5596, 0.0145
w63.oracleGeneral.bin, 0.01, 0.8674, 0.0353
w97.oracleGeneral.bin, 0.01, 0.7639, 0.0107
w31.oracleGeneral.bin, 0.01, 0.9444, 0.0000
w88.oracleGeneral.bin, 0.01, 0.5114, 0.2885
w49.oracleGeneral.bin, 0.01, 0.7111, 0.0234
w102.oracleGeneral.bin, 0.01, 0.4418, 0.0250
w46.oracleGeneral.bin, 0.01, 0.6643, 0.0067
w96.oracleGeneral.bin, 0.01, 0.9014, 0.0243
w77.oracleGeneral.bin, 0.01, 0.6125, 0.0395
w16.oracleGeneral.bin, 0.01, 0.9040, 0.1911
w72.oracleGeneral.bin, 0.01, 0.5239, 0.2400
w92.oracleGeneral.bin, 0.01, 0.8722, 0.0003
w68.oracleGeneral.bin, 0.01, 0.6064, 0.0709
