log_name, dram_ratio, miss_ratio, write_byte
w35.oracleGeneral.bin, 0.1, 0.1229, 0.0338
w95.oracleGeneral.bin, 0.1, 0.3110, 0.0919
w11.oracleGeneral.bin, 0.1, 0.9211, 0.0012
w66.oracleGeneral.bin, 0.1, 0.3197, 0.7126
w38.oracleGeneral.bin, 0.1, 0.5497, 0.1191
w36.oracleGeneral.bin, 0.1, 0.1605, 0.0566
w105.oracleGeneral.bin, 0.1, 0.7924, 0.0000
w12.oracleGeneral.bin, 0.1, 0.0524, 0.0090
w44.oracleGeneral.bin, 0.1, 0.8813, 0.1652
w08.oracleGeneral.bin, 0.1, 0.9015, 0.0552
w98.oracleGeneral.bin, 0.1, 0.7394, 0.0008
w91.oracleGeneral.bin, 0.1, 0.6699, 0.0000
w33.oracleGeneral.bin, 0.1, 0.1726, 0.0535
w59.oracleGeneral.bin, 0.1, 0.7915, 0.0807
w30.oracleGeneral.bin, 0.1, 0.5504, 0.0371
w40.oracleGeneral.bin, 0.1, 0.1366, 0.0473
w58.oracleGeneral.bin, 0.1, 0.4975, 0.0037
w63.oracleGeneral.bin, 0.01, 0.7626, 0.0249
w97.oracleGeneral.bin, 0.01, 0.7185, 0.0098
w31.oracleGeneral.bin, 0.01, 0.9320, 0.0000
w88.oracleGeneral.bin, 0.01, 0.3800, 0.1852
w49.oracleGeneral.bin, 0.01, 0.6570, 0.0219
w102.oracleGeneral.bin, 0.01, 0.2706, 0.0218
w46.oracleGeneral.bin, 0.01, 0.6327, 0.0058
w96.oracleGeneral.bin, 0.01, 0.8602, 0.0210
w77.oracleGeneral.bin, 0.01, 0.5633, 0.0341
w16.oracleGeneral.bin, 0.01, 0.6970, 0.1847
w72.oracleGeneral.bin, 0.01, 0.3937, 0.1495
w92.oracleGeneral.bin, 0.01, 0.8637, 0.0000
w68.oracleGeneral.bin, 0.01, 0.3414, 0.0488
w100.oracleGeneral.bin, 0.01, 0.7207, 0.0096
w39.oracleGeneral.bin, 0.01, 0.1115, 0.0436
w78.oracleGeneral.bin, 0.01, 0.5883, 0.0100
w87.oracleGeneral.bin, 0.01, 0.7711, 0.0832
w89.oracleGeneral.bin, 0.01, 0.4106, 0.0924
w75.oracleGeneral.bin, 0.01, 0.2729, 0.0218
w13.oracleGeneral.bin, 0.01, 0.7918, 0.0082
w29.oracleGeneral.bin, 0.01, 0.8254, 0.0203
w41.oracleGeneral.bin, 0.01, 0.1171, 0.0286
w74.oracleGeneral.bin, 0.01, 0.2008, 0.0488
w50.oracleGeneral.bin, 0.01, 0.3338, 0.0467
w25.oracleGeneral.bin, 0.01, 0.2858, 0.0939
w32.oracleGeneral.bin, 0.01, 0.7640, 0.0006
w81.oracleGeneral.bin, 0.01, 0.7544, 0.0017
w23.oracleGeneral.bin, 0.01, 0.4950, 0.0393
w69.oracleGeneral.bin, 0.01, 0.5403, 0.0230
w04.oracleGeneral.bin, 0.01, 0.4682, 0.0526
w101.oracleGeneral.bin, 0.01, 0.7135, 0.0096
w20.oracleGeneral.bin, 0.01, 0.6625, 0.0521
w43.oracleGeneral.bin, 0.01, 0.7543, 0.0208
w34.oracleGeneral.bin, 0.01, 0.8958, 0.0046
w83.oracleGeneral.bin, 0.01, 0.4831, 0.0041
w106.oracleGeneral.bin, 0.01, 0.2791, 0.0178
w93.oracleGeneral.bin, 0.01, 0.8765, 0.0000
w86.oracleGeneral.bin, 0.01, 0.9427, 1.0813
w03.oracleGeneral.bin, 0.01, 0.6088, 0.0448
w56.oracleGeneral.bin, 0.01, 0.3020, 0.0426
w24.oracleGeneral.bin, 0.01, 0.6480, 0.0251
w82.oracleGeneral.bin, 0.01, 0.4390, 0.6315
w103.oracleGeneral.bin, 0.01, 0.3519, 0.0493
w55.oracleGeneral.bin, 0.01, 0.8821, 0.0000
w28.oracleGeneral.bin, 0.01, 0.8322, 0.0000
w51.oracleGeneral.bin, 0.01, 0.4829, 0.0131
w53.oracleGeneral.bin, 0.01, 0.6871, 0.0695
w54.oracleGeneral.bin, 0.01, 0.9129, 0.0000
w94.oracleGeneral.bin, 0.01, 0.9717, 0.0000
w79.oracleGeneral.bin, 0.01, 0.9843, 0.0066
w104.oracleGeneral.bin, 0.01, 0.8767, 0.6458
w01.oracleGeneral.bin, 0.01, 0.8482, 0.0000
w67.oracleGeneral.bin, 0.01, 0.2027, 0.0333
w90.oracleGeneral.bin, 0.01, 0.7692, 0.0232
w22.oracleGeneral.bin, 0.01, 0.8000, 0.1279
w85.oracleGeneral.bin, 0.01, 0.8943, 0.0000
w71.oracleGeneral.bin, 0.01, 0.2640, 0.0793
w80.oracleGeneral.bin, 0.01, 0.8203, 0.0120
w64.oracleGeneral.bin, 0.01, 0.9132, 0.0023
w05.oracleGeneral.bin, 0.01, 0.7872, 0.0566
w70.oracleGeneral.bin, 0.01, 0.3579, 0.0717
w73.oracleGeneral.bin, 0.01, 0.5999, 0.0181
w42.oracleGeneral.bin, 0.01, 0.7257, 0.0747
w27.oracleGeneral.bin, 0.01, 0.7964, 0.0277
w02.oracleGeneral.bin, 0.01, 0.5012, 3.4219
w65.oracleGeneral.bin, 0.01, 0.9852, 0.0043
w57.oracleGeneral.bin, 0.01, 0.3048, 0.0483
w21.oracleGeneral.bin, 0.01, 0.8544, 0.2785
w47.oracleGeneral.bin, 0.01, 0.1127, 0.1269
w76.oracleGeneral.bin, 0.01, 0.3774, 0.0175
w18.oracleGeneral.bin, 0.01, 0.6459, 0.2030
w52.oracleGeneral.bin, 0.01, 0.2481, 0.0300
w10.oracleGeneral.bin, 0.01, 0.5835, 0.0470
w07.oracleGeneral.bin, 0.01, 0.7007, 0.0132
w45.oracleGeneral.bin, 0.01, 0.1181, 0.1097
w99.oracleGeneral.bin, 0.01, 0.6518, 0.8578
w48.oracleGeneral.bin, 0.01, 0.9426, 0.0051
w60.oracleGeneral.bin, 0.01, 0.8031, 0.0862
w61.oracleGeneral.bin, 0.01, 0.8782, 0.0469
w15.oracleGeneral.bin, 0.01, 0.9401, 0.0091
w19.oracleGeneral.bin, 0.01, 0.4798, 0.1686
w14.oracleGeneral.bin, 0.01, 0.5392, 0.0437
