#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
w24.oracleGeneral.bin.zst,2146608,0.2402,0.1984,0.2405,0.2702,0.2785,0.2994,0.2942,0.2744,0.2963,0.2889,0.24,0.2936,0.2461,0.2821,0.2799,0.2521,0.2545,0.24,0.2951,0.2451,0.2462
w66.oracleGeneral.bin.zst,34678,0.0391,0.0191,0.0393,0.0401,0.039,0.0884,0.0715,0.0441,0.0555,0.0468,0.107,0.0405,0.039,0.0382,0.0377,0.0389,0.0388,0.0408,0.0435,0.0375,0.0389
w08.oracleGeneral.bin.zst,3616017,0.6545,0.3136,0.6518,0.4123,0.7071,0.586,0.5826,0.6839,0.5512,0.6531,0.6586,0.5723,0.46,0.7239,0.7225,0.6122,0.5879,0.6586,0.5801,0.4197,0.5582
w70.oracleGeneral.bin.zst,202761,0.088,0.0732,0.0902,0.0936,0.0937,0.111,0.0979,0.0867,0.1,0.0977,0.1675,0.093,0.0943,0.0972,0.089,0.0888,0.0902,0.0904,0.101,0.1004,0.0906
w14.oracleGeneral.bin.zst,3573030,0.3483,0.2566,0.3841,0.3296,0.3665,0.3516,0.3549,0.3379,0.3266,0.3803,0.4862,0.2765,0.2817,0.3015,0.283,0.3184,0.3147,0.4158,0.3245,0.2794,0.3123
w02.oracleGeneral.bin.zst,198232,0.0091,0.0055,0.009,0.0091,0.0095,0.0195,0.0145,0.0092,0.0132,0.0102,0.0154,0.0087,0.0087,0.0097,0.0089,0.0087,0.0088,0.0084,0.0111,0.0081,0.0088
w98.oracleGeneral.bin.zst,698106,0.5386,0.4763,0.5385,0.5324,0.5233,0.5497,0.5486,0.5212,0.5323,0.5384,0.5366,0.5322,0.5385,0.5206,0.5186,0.5396,0.5288,0.5366,0.5398,0.534,0.543
w40.oracleGeneral.bin.zst,352526,0.0691,0.0501,0.0701,0.0736,0.0713,0.0775,0.0739,0.0695,0.0687,0.072,0.126,0.0645,0.0706,0.0672,0.0672,0.0711,0.0696,0.071,0.0716,0.0631,0.0703
w106.oracleGeneral.bin.zst,135057,0.1079,0.1031,0.1079,0.1119,0.1283,0.1291,0.1318,0.1162,0.1296,0.1249,0.108,0.1241,0.1105,0.1276,0.1288,0.1078,0.1126,0.108,0.128,0.1094,0.1075
w38.oracleGeneral.bin.zst,805301,0.5348,0.3373,0.5349,0.6093,0.6104,0.6237,0.5046,0.5653,0.4647,0.5664,0.5372,0.4318,0.3767,0.6147,0.5591,0.533,0.5609,0.5372,0.6045,0.3872,0.4478
w56.oracleGeneral.bin.zst,175602,0.0677,0.0448,0.0687,0.0687,0.0705,0.0874,0.0779,0.0708,0.0728,0.0736,0.1022,0.0668,0.0646,0.0709,0.0682,0.0658,0.066,0.071,0.0705,0.0605,0.0662
w64.oracleGeneral.bin.zst,2574123,0.8659,0.8628,0.8659,0.8957,0.8695,0.8702,0.8778,0.8671,0.8779,0.8671,0.8659,0.8774,0.8907,0.8699,0.8698,0.8659,0.8671,0.8659,0.8699,0.8915,0.892
w72.oracleGeneral.bin.zst,172286,0.1073,0.0727,0.1056,0.1079,0.1183,0.1405,0.129,0.1134,0.1232,0.1233,0.1306,0.1128,0.1033,0.1172,0.1099,0.1069,0.1088,0.1108,0.1197,0.1104,0.1088
w86.oracleGeneral.bin.zst,1722230,0.9154,0.9065,0.9154,0.9167,0.9216,0.9242,0.9186,0.9176,0.9217,0.9201,0.9154,0.9225,0.9085,0.923,0.923,0.9153,0.9185,0.9154,0.9238,0.909,0.91
w30.oracleGeneral.bin.zst,461602,0.0623,0.054,0.0625,0.0674,0.0644,0.088,0.0903,0.0845,0.0747,0.0948,0.3089,0.0649,0.0697,0.0654,0.0636,0.0652,0.0673,0.2247,0.0752,0.0928,0.0728
w48.oracleGeneral.bin.zst,1440248,0.6613,0.3274,0.635,0.5092,0.7171,0.7103,0.5873,0.6967,0.5485,0.6742,0.7364,0.584,0.5178,0.723,0.7238,0.5841,0.559,0.7364,0.5941,0.5164,0.5864
w26.oracleGeneral.bin.zst,1218225,0.217,0.1317,0.2168,0.2781,0.2153,0.2365,0.2323,0.2099,0.2286,0.2216,0.3069,0.2396,0.2086,0.2131,0.2087,0.208,0.2091,0.2084,0.2203,0.2204,0.2091
w90.oracleGeneral.bin.zst,236012,0.1744,0.1366,0.1737,0.1719,0.1717,0.2021,0.1948,0.1669,0.1907,0.1832,0.3536,0.1883,0.1844,0.1795,0.1677,0.1702,0.1736,0.3521,0.1906,0.1936,0.1812
w51.oracleGeneral.bin.zst,694786,0.1843,0.1819,0.1843,0.1879,0.2007,0.2035,0.2025,0.1867,0.1983,0.1982,0.1843,0.1983,0.1867,0.2028,0.1998,0.1843,0.1861,0.1843,0.2027,0.1874,0.1846
w89.oracleGeneral.bin.zst,308284,0.2611,0.2126,0.262,0.2592,0.2363,0.2377,0.2481,0.2439,0.2481,0.2433,0.2497,0.2377,0.2535,0.2361,0.2357,0.2586,0.2428,0.2497,0.2365,0.2565,0.2537
