#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
w11.oracleGeneral.bin.zst_46173369,528896.0,0.4207,0.3742,0.3657,0.3797,0.3809,0.4297,0.38,0.4653,0.4087,0.367,0.4536,0.1967,0.3779,0.4049,0.4165,0.385,0.38,0.3809,0.7065,0.5248,0.6155,0.3843
w29.oracleGeneral.bin.zst_19087784,981219.0,0.4665,0.4131,0.4374,0.4209,0.4512,0.4449,0.4147,0.4163,0.4407,0.4532,0.4187,0.2892,0.4556,0.3865,0.447,0.4024,0.4072,0.4596,0.6363,0.4556,0.5235,0.4121
w69.oracleGeneral.bin.zst_7874006,265777.0,0.3998,0.3205,0.335,0.3152,0.328,0.3406,0.3246,0.3253,0.3467,0.3585,0.3026,0.2151,0.3502,0.2988,0.3508,0.3136,0.318,0.3625,0.3297,0.3375,0.3282,0.3123
w95.oracleGeneral.bin.zst_3937240,83199.0,0.2668,0.2122,0.2289,0.2101,0.2277,0.2285,0.2195,0.2149,0.2377,0.2353,0.2027,0.1546,0.2366,0.2101,0.243,0.2108,0.2109,0.2438,0.2354,0.2294,0.2121,0.2128
w82.oracleGeneral.bin.zst_4926610,15180.0,0.4072,0.338,0.3757,0.3322,0.3148,0.3531,0.2903,0.2925,0.3618,0.3543,0.2486,0.1886,0.3883,0.2476,0.3172,0.2906,0.2916,0.4013,0.3749,0.3002,0.3377,0.3009
w48.oracleGeneral.bin.zst_14097008,720124.0,0.8451,0.8021,0.7871,0.8022,0.7526,0.8305,0.8188,0.7041,0.8239,0.8435,0.6817,0.5502,0.8422,0.7327,0.7912,0.7694,0.7705,0.8435,0.8159,0.7574,0.8159,0.7578
w47.oracleGeneral.bin.zst_14314717,59642.0,0.0727,0.0536,0.0552,0.0539,0.0439,0.0496,0.0471,0.0513,0.0756,0.0509,0.0404,0.0297,0.057,0.0503,0.0727,0.0468,0.0473,0.0564,0.1321,0.0576,0.0481,0.0467
w61.oracleGeneral.bin.zst_9884691,209293.0,0.4612,0.4272,0.4182,0.4211,0.4096,0.3942,0.3795,0.3785,0.4301,0.4245,0.3983,0.2489,0.4335,0.4338,0.4426,0.3748,0.3806,0.4398,0.5111,0.4605,0.4154,0.3911
w56.oracleGeneral.bin.zst_10899629,87801.0,0.1414,0.1061,0.1113,0.1035,0.1086,0.1045,0.1081,0.1052,0.1103,0.1085,0.097,0.0654,0.115,0.1031,0.1202,0.0991,0.1013,0.1178,0.3075,0.1258,0.1048,0.1009
w77.oracleGeneral.bin.zst_5616402,212663.0,0.3359,0.2853,0.2977,0.2845,0.3311,0.3028,0.2942,0.3119,0.3519,0.3066,0.2763,0.2102,0.316,0.2759,0.3615,0.2926,0.2841,0.3063,0.4174,0.3283,0.2958,0.2843
w57.oracleGeneral.bin.zst_10554725,91664.0,0.1678,0.1358,0.1414,0.1321,0.1344,0.1304,0.1372,0.1313,0.1426,0.1386,0.1141,0.0741,0.1447,0.1289,0.1484,0.1235,0.1264,0.1477,0.207,0.1548,0.1264,0.1281
w104.oracleGeneral.bin.zst_3395553,366017.0,0.7609,0.7192,0.7305,0.7194,0.7343,0.7319,0.7472,0.7363,0.7389,0.7385,0.7518,0.6293,0.7348,0.7576,0.7442,0.7289,0.7173,0.7408,0.7227,0.7495,0.7227,0.7511
w96.oracleGeneral.bin.zst_3787344,116272.0,0.4316,0.4071,0.4092,0.3933,0.4028,0.3736,0.3713,0.3639,0.3966,0.387,0.4284,0.2321,0.4149,0.4009,0.4167,0.3638,0.3714,0.421,0.4802,0.417,0.4041,0.3853
w01.oracleGeneral.bin.zst_215796257,24560802.0,0.8258,0.7935,0.7606,0.7919,0.713,0.8169,0.8238,0.7461,0.8085,0.8256,0.7336,0.6604,0.8164,0.7284,0.7943,0.8218,0.7932,0.8257,0.7921,0.765,0.7921,0.7384
w53.oracleGeneral.bin.zst_8973978,1069733.0,0.6622,0.6543,0.6546,0.6552,0.6505,0.6506,0.6558,0.6452,0.6517,0.6544,0.6399,0.596,0.6542,0.6505,0.651,0.6517,0.6542,0.6544,0.6835,0.6491,0.6567,0.6533
w12.oracleGeneral.bin.zst_45355529,83599.0,0.0197,0.0145,0.0145,0.0145,0.0147,0.0162,0.0152,0.0146,0.0199,0.015,0.0149,0.0099,0.0152,0.0147,0.0196,0.0147,0.0146,0.015,0.1173,0.0171,0.0143,0.0149
