 P10 P30 P50 P70 P90 filtersize stagingsize
flex-0.05-0.01-0.50 -0.011 -0.004 0.000 0.007 0.041 5 1
flex-0.10-0.01-0.50 -0.011 -0.003 0.000 0.005 0.035 10 1
flex-0.15-0.01-0.50 -0.013 -0.004 -0.000 0.003 0.029 15 1
flex-0.05-0.05-0.50 -0.011 -0.004 0.000 0.007 0.041 5 5
flex-0.10-0.05-0.50 -0.011 -0.003 0.000 0.005 0.034 10 5
flex-0.15-0.05-0.50 -0.014 -0.004 -0.000 0.004 0.029 15 5
flex-0.05-0.10-0.50 -0.011 -0.004 0.000 0.007 0.041 5 10
flex-0.10-0.10-0.50 -0.011 -0.003 0.000 0.005 0.035 10 10
flex-0.15-0.10-0.50 -0.013 -0.004 -0.000 0.004 0.030 15 10
