#policy P10 P30 P50 P70 P90 filtersize stagingsize
merlin-0.05-0.01-2.00-32-1.0 0.002 0.011 0.023 0.047 0.113 5 1
merlin-0.10-0.01-2.00-32-1.0 0.003 0.013 0.025 0.049 0.113 10 1
merlin-0.15-0.01-2.00-32-1.0 0.003 0.013 0.025 0.049 0.109 15 1
merlin-0.05-0.05-2.00-32-1.0 0.002 0.011 0.023 0.047 0.115 5 5
merlin-0.10-0.05-2.00-32-1.0 0.003 0.013 0.025 0.049 0.113 10 5
merlin-0.15-0.05-2.00-32-1.0 0.003 0.013 0.025 0.049 0.109 15 5
merlin-0.05-0.10-2.00-32-1.0 0.002 0.011 0.023 0.048 0.115 5 10
merlin-0.10-0.10-2.00-32-1.0 0.003 0.012 0.025 0.049 0.115 10 10
merlin-0.15-0.10-2.00-32-1.0 0.003 0.013 0.025 0.049 0.112 15 10
