 P10 P30 P50 P70 P90 filtersize stagingsize
flex-0.05-0.01-0.50 -0.007 0.005 0.019 0.057 0.158 5 1
flex-0.10-0.01-0.50 0.002 0.012 0.028 0.065 0.162 10 1
flex-0.15-0.01-0.50 0.003 0.015 0.030 0.065 0.156 15 1
flex-0.05-0.05-0.50 -0.007 0.006 0.019 0.058 0.158 5 5
flex-0.10-0.05-0.50 0.002 0.012 0.028 0.065 0.162 10 5
flex-0.15-0.05-0.50 0.003 0.015 0.030 0.065 0.157 15 5
flex-0.05-0.10-0.50 -0.007 0.006 0.019 0.057 0.157 5 10
flex-0.10-0.10-0.50 0.002 0.012 0.028 0.065 0.162 10 10
flex-0.15-0.10-0.50 0.003 0.014 0.030 0.065 0.159 15 10
