 P10 P30 P50 P70 P90 filtersize stagingsize
flex-0.05-0.01-0.50 -0.001 0.005 0.012 0.028 0.105 5 1
flex-0.10-0.01-0.50 0.001 0.007 0.013 0.028 0.105 10 1
flex-0.15-0.01-0.50 0.001 0.007 0.014 0.028 0.104 15 1
flex-0.05-0.05-0.50 -0.001 0.005 0.012 0.028 0.106 5 5
flex-0.10-0.05-0.50 0.001 0.006 0.013 0.028 0.106 10 5
flex-0.15-0.05-0.50 0.001 0.007 0.014 0.028 0.105 15 5
flex-0.05-0.10-0.50 -0.001 0.005 0.013 0.028 0.107 5 10
flex-0.10-0.10-0.50 0.001 0.006 0.013 0.028 0.107 10 10
flex-0.15-0.10-0.50 0.001 0.007 0.013 0.028 0.105 15 10
