 P10 P30 P50 P70 P90 filtersize stagingsize
flex-0.05-0.01-2.00 0.002 0.012 0.022 0.040 0.121 5 1
flex-0.10-0.01-2.00 0.003 0.013 0.022 0.040 0.115 10 1
flex-0.15-0.01-2.00 0.003 0.012 0.021 0.039 0.108 15 1
flex-0.05-0.05-2.00 0.002 0.012 0.022 0.040 0.122 5 5
flex-0.10-0.05-2.00 0.003 0.013 0.022 0.040 0.116 10 5
flex-0.15-0.05-2.00 0.003 0.012 0.022 0.039 0.109 15 5
flex-0.05-0.10-2.00 0.002 0.012 0.022 0.040 0.124 5 10
flex-0.10-0.10-2.00 0.003 0.012 0.023 0.041 0.120 10 10
flex-0.15-0.10-2.00 0.003 0.012 0.022 0.040 0.111 15 10
