 P10 P30 P50 P70 P90 filtersize stagingsize
flex-0.05-0.01-2.00 -0.011 -0.004 0.000 0.007 0.038 5 1
flex-0.10-0.01-2.00 -0.011 -0.003 0.000 0.005 0.033 10 1
flex-0.15-0.01-2.00 -0.013 -0.004 -0.000 0.003 0.028 15 1
flex-0.05-0.05-2.00 -0.011 -0.004 0.000 0.007 0.038 5 5
flex-0.10-0.05-2.00 -0.011 -0.003 0.000 0.005 0.032 10 5
flex-0.15-0.05-2.00 -0.014 -0.004 -0.000 0.003 0.028 15 5
flex-0.05-0.10-2.00 -0.011 -0.004 0.000 0.007 0.038 5 10
flex-0.10-0.10-2.00 -0.011 -0.003 0.000 0.005 0.033 10 10
flex-0.15-0.10-2.00 -0.014 -0.004 -0.000 0.004 0.028 15 10
