#policy P10 P30 P50 P70 P90 filtersize stagingsize
merlin-0.05-0.01-1.00-32-1.0 0.001 0.009 0.018 0.034 0.125 5 1
merlin-0.10-0.01-1.00-32-1.0 0.002 0.010 0.019 0.035 0.120 10 1
merlin-0.15-0.01-1.00-32-1.0 0.002 0.010 0.019 0.034 0.115 15 1
merlin-0.05-0.05-1.00-32-1.0 0.001 0.009 0.018 0.035 0.125 5 5
merlin-0.10-0.05-1.00-32-1.0 0.002 0.010 0.019 0.035 0.120 10 5
merlin-0.15-0.05-1.00-32-1.0 0.002 0.010 0.018 0.034 0.114 15 5
merlin-0.05-0.10-1.00-32-1.0 0.001 0.009 0.018 0.035 0.125 5 10
merlin-0.10-0.10-1.00-32-1.0 0.002 0.010 0.018 0.035 0.122 10 10
merlin-0.15-0.10-1.00-32-1.0 0.002 0.010 0.018 0.034 0.117 15 10
