#policy P10 P30 P50 P70 P90 filtersize stagingsize
merlin-0.05-0.01-0.50-32-1.0 0.000 0.006 0.015 0.038 0.100 5 1
merlin-0.10-0.01-0.50-32-1.0 0.001 0.008 0.017 0.039 0.102 10 1
merlin-0.15-0.01-0.50-32-1.0 0.002 0.009 0.019 0.041 0.101 15 1
merlin-0.05-0.05-0.50-32-1.0 0.000 0.006 0.015 0.038 0.102 5 5
merlin-0.10-0.05-0.50-32-1.0 0.001 0.008 0.018 0.039 0.104 10 5
merlin-0.15-0.05-0.50-32-1.0 0.002 0.009 0.019 0.041 0.102 15 5
merlin-0.05-0.10-0.50-32-1.0 0.000 0.006 0.015 0.038 0.102 5 10
merlin-0.10-0.10-0.50-32-1.0 0.001 0.008 0.018 0.040 0.104 10 10
merlin-0.15-0.10-0.50-32-1.0 0.002 0.009 0.019 0.041 0.102 15 10
