#policy P10 P30 P50 P70 P90 filtersize stagingsize
merlin-0.05-0.01-1.00-32-1.0 -0.010 0.002 0.013 0.034 0.093 5 1
merlin-0.10-0.01-1.00-32-1.0 -0.008 0.002 0.011 0.029 0.081 10 1
merlin-0.15-0.01-1.00-32-1.0 -0.007 0.001 0.009 0.024 0.072 15 1
merlin-0.05-0.05-1.00-32-1.0 -0.010 0.002 0.013 0.034 0.092 5 5
merlin-0.10-0.05-1.00-32-1.0 -0.008 0.002 0.011 0.029 0.081 10 5
merlin-0.15-0.05-1.00-32-1.0 -0.007 0.001 0.009 0.024 0.072 15 5
merlin-0.05-0.10-1.00-32-1.0 -0.010 0.002 0.013 0.034 0.092 5 10
merlin-0.10-0.10-1.00-32-1.0 -0.008 0.002 0.011 0.029 0.081 10 10
merlin-0.15-0.10-1.00-32-1.0 -0.007 0.001 0.009 0.024 0.073 15 10
