#policy P10 P30 P50 P70 P90 filtersize stagingsize
merlin-0.05-0.01-0.50-32-1.0 -0.011 0.002 0.014 0.040 0.095 5 1
merlin-0.10-0.01-0.50-32-1.0 -0.008 0.002 0.013 0.036 0.088 10 1
merlin-0.15-0.01-0.50-32-1.0 -0.007 0.002 0.012 0.033 0.080 15 1
merlin-0.05-0.05-0.50-32-1.0 -0.011 0.003 0.014 0.039 0.095 5 5
merlin-0.10-0.05-0.50-32-1.0 -0.008 0.002 0.013 0.036 0.088 10 5
merlin-0.15-0.05-0.50-32-1.0 -0.007 0.002 0.012 0.032 0.079 15 5
merlin-0.05-0.10-0.50-32-1.0 -0.011 0.002 0.014 0.039 0.095 5 10
merlin-0.10-0.10-0.50-32-1.0 -0.008 0.002 0.013 0.036 0.088 10 10
merlin-0.15-0.10-0.50-32-1.0 -0.007 0.002 0.012 0.032 0.080 15 10
