 P10 P30 P50 P70 P90 filtersize stagingsize
flex-0.05-0.01-2.00 -0.010 0.002 0.010 0.025 0.081 5 1
flex-0.10-0.01-2.00 -0.008 0.001 0.008 0.021 0.071 10 1
flex-0.15-0.01-2.00 -0.007 0.001 0.007 0.017 0.062 15 1
flex-0.05-0.05-2.00 -0.010 0.002 0.010 0.025 0.081 5 5
flex-0.10-0.05-2.00 -0.008 0.001 0.008 0.021 0.071 10 5
flex-0.15-0.05-2.00 -0.007 0.001 0.007 0.017 0.062 15 5
flex-0.05-0.10-2.00 -0.011 0.002 0.010 0.025 0.081 5 10
flex-0.10-0.10-2.00 -0.008 0.001 0.008 0.021 0.072 10 10
flex-0.15-0.10-2.00 -0.007 0.001 0.007 0.017 0.063 15 10
