#policy P10 P30 P50 P70 P90 filtersize stagingsize
merlin-0.05-0.01-1.00-32-1.0 -0.002 0.009 0.026 0.065 0.165 5 1
merlin-0.10-0.01-1.00-32-1.0 0.003 0.016 0.034 0.072 0.168 10 1
merlin-0.15-0.01-1.00-32-1.0 0.005 0.018 0.036 0.070 0.162 15 1
merlin-0.05-0.05-1.00-32-1.0 -0.002 0.009 0.027 0.066 0.166 5 5
merlin-0.10-0.05-1.00-32-1.0 0.003 0.016 0.034 0.072 0.168 10 5
merlin-0.15-0.05-1.00-32-1.0 0.005 0.018 0.035 0.071 0.162 15 5
merlin-0.05-0.10-1.00-32-1.0 -0.002 0.009 0.026 0.065 0.167 5 10
merlin-0.10-0.10-1.00-32-1.0 0.003 0.016 0.034 0.072 0.170 10 10
merlin-0.15-0.10-1.00-32-1.0 0.005 0.018 0.035 0.071 0.165 15 10
