 P10 P30 P50 P70 P90 filtersize stagingsize
flex-0.05-0.01-0.50 -0.015 0.001 0.012 0.028 0.093 5 1
flex-0.10-0.01-0.50 -0.012 0.002 0.012 0.026 0.089 10 1
flex-0.15-0.01-0.50 -0.010 0.002 0.012 0.025 0.083 15 1
flex-0.05-0.05-0.50 -0.015 0.001 0.012 0.028 0.094 5 5
flex-0.10-0.05-0.50 -0.012 0.002 0.012 0.026 0.089 10 5
flex-0.15-0.05-0.50 -0.011 0.002 0.012 0.025 0.083 15 5
flex-0.05-0.10-0.50 -0.016 0.001 0.012 0.027 0.093 5 10
flex-0.10-0.10-0.50 -0.012 0.002 0.012 0.026 0.090 10 10
flex-0.15-0.10-0.50 -0.011 0.002 0.011 0.024 0.083 15 10
