#policy P10 P30 P50 P70 P90 filtersize stagingsize
merlin-0.05-0.01-2.00-32-1.0 -0.011 0.003 0.012 0.031 0.106 5 1
merlin-0.10-0.01-2.00-32-1.0 -0.009 0.002 0.011 0.028 0.100 10 1
merlin-0.15-0.01-2.00-32-1.0 -0.009 0.001 0.009 0.025 0.091 15 1
merlin-0.05-0.05-2.00-32-1.0 -0.011 0.003 0.012 0.031 0.106 5 5
merlin-0.10-0.05-2.00-32-1.0 -0.009 0.002 0.011 0.028 0.099 10 5
merlin-0.15-0.05-2.00-32-1.0 -0.009 0.001 0.009 0.026 0.092 15 5
merlin-0.05-0.10-2.00-32-1.0 -0.011 0.003 0.012 0.031 0.107 5 10
merlin-0.10-0.10-2.00-32-1.0 -0.009 0.002 0.011 0.028 0.101 10 10
merlin-0.15-0.10-2.00-32-1.0 -0.009 0.002 0.010 0.026 0.095 15 10
